Я бы,имя,Библиотека форм,Идентификатор страницы,Содержится в,группа,Линия Источник,Линия назначения,Исходная стрелка,Стрелка назначения,Состояние,Текстовая область 1,Текстовая область 2,Текстовая область 3,Текстовая область 4,Текстовая область 5,Текстовая область 6,Текстовая область 7,Текстовая область 8,Текстовая область 9,Текстовая область 10,Текстовая область 11,Текстовая область 12
1,Документ,,,,,,,,,Черновик,Схема БД (диплом),,,,,,,,,,,
2,страница,,,,,,,,,,ER-диаграмма с цветовым кодированием (в нотации UML),,,,,,,,,,,
3,MinimalTextBlock,стандарт,2,,,,,,,,,,,,,,,,,,,
4,сущность,Отношения сущностей,2,,59,,,,,,,PK id,name,lat,lon,accepted,adding_date,updating_date,description,FK space_type_id,FK user_id,FK moder_id
5,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,spots,,,,,,,,,,,
6,сущность,Отношения сущностей,2,,59,,,,,,,PK id,name,,,,,,,,,
7,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,spot_types,,,,,,,,,,,
8,сущность,Отношения сущностей,2,,59,,,,,,,PK id,name,,,,,,,,,
9,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,space_types,,,,,,,,,,,
10,сущность,Отношения сущностей,2,,59,,,,,,,PK id,name,transport_name,,,,,,,,
11,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,sport_types,,,,,,,,,,,
12,сущность,Отношения сущностей,2,,59,,,,,,,PK id,text,upload_date,FK spot_id,FK user_id,,,,,,
13,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,comments,,,,,,,,,,,
14,сущность,Отношения сущностей,2,,59,,,,,,Пользователь,PK id,name,email,pass_hash,phone_number,birthday,reg_date,FK role_id,,,
15,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,users,,,,,,,,,,,
16,сущность,Отношения сущностей,2,,59,,,,,,,PK id,name,code_name,,,,,,,,
17,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,roles,,,,,,,,,,,
18,сущность,Отношения сущностей,2,,59,,,,,,,PK id,orig_name,gen_name,size,upload_date,FK spot_id,FK user_id,,,,
19,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,image_info,,,,,,,,,,,
20,сущность,Отношения сущностей,2,,59,,,,,,,PK spot_id,PK user_id,liked,favorite,,,,,,,
21,Процесс,Фигуры и контейнеры для блок-схем,2,,59,,,,,,spots_users,,,,,,,,,,,
22,Текст,стандарт,2,,59,,,,,,*,,,,,,,,,,,
23,Текст,стандарт,2,,59,,,,,,*,,,,,,,,,,,
24,Текст,стандарт,2,,59,,,,,,*,,,,,,,,,,,
25,Текст,стандарт,2,,59,,,,,,*,,,,,,,,,,,
26,Текст,стандарт,2,,59,,,,,,*,,,,,,,,,,,
